gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneID
LOC105378604,1.1866581946654355,-0.6698258021498765,0.30709612042771506,-2.1811600915601326,0.02917157747867842,0.11008163819818183,105378604
ARHGEF16,221.62737849873523,0.039553994107526226,0.1108219478163412,0.3569148069214302,0.7211555844520033,0.8376795681527075,27237
MEGF6,658.3601229306981,-0.25630405281718277,0.09886433185810264,-2.592482526307356,0.009528602166343682,0.05403001006634599,1953
LOC105378608,0.31575483015299594,-0.9451905445721005,0.5848895369266648,-1.6160154779629974,0.10609096679460563,,105378608
MIR551A,0.008945108489713437,-0.031447584184113926,2.98641228618951,-0.010530221942074593,0.991598253762954,,693135
LOC105378607,0.13483605859397396,-0.03316138352431856,0.8597140842475771,-0.03857257212825756,0.9692311702838313,,105378607
TPRG1L,1614.8844006285628,-0.08602718670023327,0.0686241326978629,-1.2535996203987338,0.20998756927587603,0.39318238544174827,127262
WRAP73,338.6697782561528,-0.03443347702288168,0.05867613020796603,-0.5868396041258852,0.5573114354331927,0.7232420270806661,49856
TP73,69.29277046882689,0.2474436490329086,0.14695409007466387,1.6838160061226497,0.09221723288540107,0.23164327156551176,7161
TP73-AS3,0.33426799622385084,-0.2978542776472607,0.5492362273335548,-0.5423063207124752,0.5876075020599714,,105378610
LOC105378609,0.030743362351777444,-0.10873347305041262,2.583216649927746,-0.04209227787899785,0.9664251360766385,,105378609
TP73-AS1,1297.3389748662987,0.00613158865507324,0.08182558768897025,0.07493485629923258,0.9402665431935058,0.9677728909386019,57212
CCDC27,5.578516220085132,0.4290446399799896,0.18686124555767541,2.2960600455141638,0.02167244837579228,0.0911518601360151,148870
SMIM1,9.793327935866428,0.32970338572361785,0.23622674607354027,1.395707265175541,0.16280266562247814,0.3330895919119076,388588
LRRC47,1036.7922048906737,0.05121927574485518,0.04787245734256687,1.0699111469950051,0.2846593051161873,0.47753371718029447,57470
CEP104,874.8794495365421,-0.0414463444916783,0.06396927025023848,-0.6479102282947145,0.5170430148449074,0.6917081654770031,9731
DFFB,267.6652406685075,0.03854080526732776,0.08660668576852305,0.44500958471424734,0.6563128275632244,0.793412060040189,1677
LOC107984910,8.963456771557313,0.06989448931339273,0.15703885350187127,0.4450776846289181,0.6562636148155516,0.793412060040189,107984910
C1orf174,703.1340939461401,0.05446367940105155,0.06919242477943871,0.7871335565224479,0.4312036875273073,0.6199762611644161,339448
LINC01134,7.2939253806582665,-0.03493658280620961,0.142977949423533,-0.24434944652003332,0.8069601910137241,0.890231203156371,100133612
LINC01346,0.0,,,,,,728716
LINC01345,0.05978418575447366,-0.0706034601163808,1.5799764434007804,-0.04468640049114414,0.9643572737060637,,105376672
LINC02780,0.0,,,,,,105376673
LINC01777,0.5933889148395336,0.8115633732329021,0.3756284992008057,2.160547921575705,0.03073027801712389,,284661
LOC105376674,0.10803210926548887,-0.07128988211640569,1.0534146051246158,-0.06767504624446735,0.9460443139711832,,105376674
LINC01646,0.0,,,,,,105376679
LOC107985376,1.181507487530391,-0.4060521682093844,0.5129970926756778,-0.7915291801977031,0.4286352550905025,0.6176542917025822,107985376
AJAP1,34.03584755067488,0.13326834208799634,0.12327585042712229,1.0810579819668846,0.27967132254934113,0.47204555171303586,55966
LINC02781,0.005373645865124479,-0.005685324608299666,2.986722062784518,-0.001903533200876162,0.9984812011652577,,105376680
LOC102724429,0.005908370491061544,-0.005685324608299666,2.986722062784518,-0.001903533200876162,0.9984812011652577,,102724429
LINC02782,0.0,,,,,,105376681
LOC105376682,0.0,,,,,,105376682
LOC107984911,0.27032539551410173,0.5806674319368049,0.6521746247668005,0.8903557573164325,0.37327489071685604,,107984911
LOC105376686,3.43189431676659,1.0154852081969994,0.3067288971798119,3.310692985022854,0.0009306525454035134,0.013510999440519368,105376686
MIR4689,0.42039462223357105,0.15257721839750404,0.38007041927049534,0.4014446025301305,0.688092816550872,,100616421
